,stimulus,X,Food_image,Study,HI_LO_fat,food,Total.kcal,CHO_g,PRO_g,Fat_g,CHO_pctKcal,PRO_pctKcal,Fat_pctKcal,Energy_Density,...13,sugar_g,sugar_pct_kcal
1,1%milk,1,1%milk.jpg,REFCT,0,1% milk,42,4.99,3.37,0.97,45.979,34.262,20.301,0.42,NA,5.2,49.52380952
2,air popcorn,2,air popcorn.jpg,REFCT,0,Air-popped popcorn,387,77,12.94,4.54,81.121,9.128,9.819,3.87,NA,0.87,0.899224806
3,american cheese,3,american cheese.jpg,REFCT,1,American cheese,375,1.6,22.15,31.25,1.651,25.221,73.25,3.75,NA,2.26,2.469945355
4,apple slices,4,apple slices.jpg,REFCT,0,Apple,52,13.81,0.26,0.17,95.608,1.68,2.736,0.52,NA,10.39,79.92307692
5,avacado,5,avacado.jpg,REFCT,1,Avocado: green,120,7.82,2.23,10.06,23.46,6.244,70.169,1.2,NA,0.3,0.718562874
6,baby cheese,6,baby cheese.jpg,REFCT,1,Baby Bell cheese w/crackers,374.1,19.642,19.642,24.107,21,21,58,3.74,NA,1.12,1.217391304
7,bagel and cc,7,bagel and cc.jpg,REFCT,1,Bagel & cream cheese,282.15,36.898,8.822,11.175,52.303,12.684,34.932,2.82,NA,9.917,10.53814459
8,bagel plain,8,bagel plain.jpg,REFCT,0,Bagel: plain,257,50.5,10.02,1.62,78.599,15.595,5.673,2.57,NA,8.43,12.77272727
9,baguette oil,9,baguette oil.jpg,REFCT,1,Baguette with olive oil,420.49,43.949,9.149,23.529,41.789,8.7,49.554,4.2,NA,3.511,3.15312079
10,baked potato,10,baked potato.jpg,REFCT,0,Baked Potato,93,21.15,2.5,0.13,91.65,7.473,1.17,0.93,NA,1.18,5.075268817
11,banana,11,banana.jpg,REFCT,0,Banana,89,22.84,1.09,0.33,92.387,4.115,3.103,0.89,NA,12.23,54.96629213
12,blackbeanswithrice,12,blackbeanswithrice.jpg,DDM,0,Black Beans w/ rice,129,25.485,5.68,0.39,81.706,15.7,2.6,1.29,NA,0.342,0.613177947
13,blueberries,13,blueberries.jpg,DDM,0,Blueberries,57,14.49,0.74,0.33,91.516,4.362,4.846,0.57,NA,9.96,69.89473684
